División,Total Nacional,GBA,Pampeana,Noreste,Noroeste,Cuyo,Patagonia
Nivel general,2.2,2.0,2.3,2.5,2.6,2.0,2.5
Alimentos y bebidas no alcohólicas,1.8,1.9,1.8,1.8,2.0,1.1,2.2
Bebidas alcohólicas y tabaco,2.4,2.5,2.4,2.7,2.0,2.1,2.4
Prendas de vestir y calzado,-0.7,-2.3,0.8,1.1,0.6,1.0,1.2
"Vivienda, agua, electricidad, gas y otros combustibles",4.0,2.2,6.4,5.1,5.5,3.1,4.0
Equipamiento y mantenimiento del hogar,1.6,1.6,1.5,1.4,1.8,2.4,1.7
Salud,2.4,2.6,2.1,1.9,2.9,1.8,3.1
Transporte,1.2,0.8,1.2,3.7,2.1,0.8,2.0
Comunicación,2.3,2.6,2.1,1.8,2.3,2.5,2.0
Recreación y cultura,2.5,2.7,2.0,1.8,2.1,3.8,2.6
Educación,0.5,0.4,0.4,4.1,0.9,0.3,0.4
Restaurantes y hoteles,5.3,5.2,5.3,5.4,5.6,5.4,6.2
Bienes y servicios varios,2.5,3.3,1.8,1.3,1.9,2.2,1.9